"";"mc_experiments";"mc_stats";"mc_rpp";"mc_rpp2";"mc_replicable2";"trust1";"trust2";"trust3";"trust4";"trust5";"gender";"age";"na";"gender_3_TEXT";"english";"english_native";"race";"CON";"mean_trust";"mcfailure"
"204";6;6;NA;6;5;3;6;5;2;3;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";3,8;1
"205";6;7;NA;6;7;2;7;6;1;2;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";3,6;1
"206";7;2;NA;7;5;7;6;7;5;7;1;39;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";6,4;0
"207";7;2;NA;7;7;5;6;5;5;6;1;29;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";5,4;0
"208";7;5;6;NA;NA;2;4;6;3;2;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";3,4;1
"209";7;3;NA;7;7;2;3;3;3;2;2;29;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";2,6;0
"210";5;4;6;NA;NA;2;5;6;3;2;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";3,6;1
"211";7;1;NA;7;7;6;6;5;5;4;1;59;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";5,2;0
"212";6;1;NA;5;6;5;6;5;5;4;1;33;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";5;0
"213";7;1;NA;7;7;6;5;5;5;6;1;70;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";5,4;0
"214";7;2;NA;6;6;6;5;5;6;6;1;24;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";5,6;0
"215";7;6;NA;6;5;2;6;5;2;3;1;18;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";3,6;1
"216";7;1;7;NA;NA;7;5;5;7;7;1;24;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";6,2;0
"217";5;3;NA;5;4;3;3;5;5;3;1;34;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";3,8;0
"219";6;1;7;NA;NA;1;4;5;5;4;1;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";3,8;0
"220";7;1;7;NA;NA;5;5;5;5;5;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";5;0
"221";5;6;5;NA;NA;2;5;6;3;3;2;29;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";3,8;1
"222";6;5;7;NA;NA;2;7;5;2;1;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";3,4;1
"223";7;1;NA;6;4;4;4;4;4;3;1;41;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";3,8;0
